name;id
Fresh or chilled mackerel;UNCTAD-SoP1_Raw materials_030264
Fresh or chilled dogfish and other sharks;UNCTAD-SoP1_Raw materials_030265
Fresh or chilled eels;UNCTAD-SoP1_Raw materials_030266
Fresh or chilled fish, nes;UNCTAD-SoP1_Raw materials_030269
Fresh or chilled fish livers and roes;UNCTAD-SoP1_Raw materials_030270
Frozen Pacific salmon;UNCTAD-SoP1_Raw materials_030310
Frozen trout;UNCTAD-SoP1_Raw materials_030321
Frozen Atlantic and Danube salmon;UNCTAD-SoP1_Raw materials_030322
Frozen salmonidae (excl. Pacific, Atlantic, Dan;UNCTAD-SoP1_Raw materials_030329
Frozen halibut;UNCTAD-SoP1_Raw materials_030331
Frozen plaice;UNCTAD-SoP1_Raw materials_030332
Frozen sole;UNCTAD-SoP1_Raw materials_030333
Frozen flat fish (excl. halibut, plaice and sol;UNCTAD-SoP1_Raw materials_030339
Frozen albacore or longfinned tunas;UNCTAD-SoP1_Raw materials_030341
Frozen yellowfin tunas;UNCTAD-SoP1_Raw materials_030342
Frozen skipjack or stripe-bellied bonito;UNCTAD-SoP1_Raw materials_030343
Frozen tunas, nes;UNCTAD-SoP1_Raw materials_030349
Frozen herrings (excl. livers and roes);UNCTAD-SoP1_Raw materials_030350
Frozen cod (excl. livers and roes);UNCTAD-SoP1_Raw materials_030360
Frozen sardines, brisling or sprats;UNCTAD-SoP1_Raw materials_030371
Frozen haddock;UNCTAD-SoP1_Raw materials_030372
Frozen coalfish;UNCTAD-SoP1_Raw materials_030373
Frozen mackerel;UNCTAD-SoP1_Raw materials_030374
Frozen dogfish and sharks;UNCTAD-SoP1_Raw materials_030375
Frozen eels;UNCTAD-SoP1_Raw materials_030376
Frozen sea-bass;UNCTAD-SoP1_Raw materials_030377
Frozen hake;UNCTAD-SoP1_Raw materials_030378
Frozen fish, nes;UNCTAD-SoP1_Raw materials_030379
Frozen fish livers and roes;UNCTAD-SoP1_Raw materials_030380
Fresh or chilled fish fillets;UNCTAD-SoP1_Raw materials_030410
Frozen fish fillets;UNCTAD-SoP1_Raw materials_030420
Frozen fish meat (excl. fillets);UNCTAD-SoP1_Raw materials_030490
Dried cod, not smoked;UNCTAD-SoP2_Intermediate goods_030551
Dried fish, not smoked (excl. cod);UNCTAD-SoP2_Intermediate goods_030559
Herrings salted or in brine but not dried or sm;UNCTAD-SoP2_Intermediate goods_030561
Cod salted or in brine but not dried or smoked;UNCTAD-SoP2_Intermediate goods_030562
Anchovies salted or in brine but not dried or s;UNCTAD-SoP2_Intermediate goods_030563
Other fish salted or in brine but not dried or;UNCTAD-SoP2_Intermediate goods_030569
Frozen rock lobster and other sea crawfish;UNCTAD-SoP1_Raw materials_030611
Frozen lobsters;UNCTAD-SoP1_Raw materials_030612
Frozen shrimps and prawns;UNCTAD-SoP1_Raw materials_030613
Frozen crabs;UNCTAD-SoP1_Raw materials_030614
Frozen crustaceans,nes,including flours,meals &;UNCTAD-SoP1_Raw materials_030619
Rock lobster and other sea crawfish (excl. froz;UNCTAD-SoP2_Intermediate goods_030621
Lobsters (excl.frozen);UNCTAD-SoP2_Intermediate goods_030622
Shrimps and prawns (excl. frozen);UNCTAD-SoP2_Intermediate goods_030623
Crabs (excl.frozen);UNCTAD-SoP2_Intermediate goods_030624
Crustaceans not frozen,nes,includ.flours,meals,;UNCTAD-SoP2_Intermediate goods_030629
Oysters;UNCTAD-SoP1_Raw materials_030710
Scallops, live, fresh or chilled;UNCTAD-SoP1_Raw materials_030721
Scallops (excl. live, fresh or chilled);UNCTAD-SoP2_Intermediate goods_030729
Mussels, live, fresh or chilled;UNCTAD-SoP1_Raw materials_030731
Mussels (excl. live, fresh or chilled);UNCTAD-SoP2_Intermediate goods_030739
Cuttle fish and squid, live, fresh or chilled;UNCTAD-SoP1_Raw materials_030741
Cuttle fish and squid (excl. live, fresh or chi;UNCTAD-SoP2_Intermediate goods_030749
Octopus live, fresh or chilled;UNCTAD-SoP1_Raw materials_030751
Octopus (excl. live, fresh or chilled);UNCTAD-SoP2_Intermediate goods_030759
Snails other than sea snails;UNCTAD-SoP1_Raw materials_030760
Aquatic invertebrates, nes, live, fresh or chil;UNCTAD-SoP1_Raw materials_030791
Aquatic invertebrates,nes,includ.flours,meals,p;UNCTAD-SoP2_Intermediate goods_030799
Milk and cream of =<1% fat, not concentrated or;UNCTAD-SoP1_Raw materials_040110
Milk and cream of >1% but =<6% fat, not concent;UNCTAD-SoP1_Raw materials_040120
Milk and cream of >6% fat, not concentrated or;UNCTAD-SoP1_Raw materials_040130
Milk and cream in solid forms of =<1.5% fat;UNCTAD-SoP2_Intermediate goods_040210
Milk and cream in solid forms of >1.5% fat, uns;UNCTAD-SoP2_Intermediate goods_040221
Milk and cream in solid forms of >1.5% fat, swe;UNCTAD-SoP2_Intermediate goods_040229
Concentrated milk and cream, unsweetened (excl.;UNCTAD-SoP2_Intermediate goods_040291
Sweetened milk and cream (excl. in solid form);UNCTAD-SoP2_Intermediate goods_040299
Whey & modified whey, concentrated or not, or c;UNCTAD-SoP2_Intermediate goods_040410
Products consisting of natural milk constituent;UNCTAD-SoP2_Intermediate goods_040490
Birds' eggs, in shell, fresh, preserved or cook;UNCTAD-SoP1_Raw materials_040700
Dried egg yolks;UNCTAD-SoP2_Intermediate goods_040811
Egg yolks (excl. dried);UNCTAD-SoP2_Intermediate goods_040819
Dried birds' eggs, not in shell;UNCTAD-SoP2_Intermediate goods_040891
Birds' eggs, not in shell (excl. dried);UNCTAD-SoP2_Intermediate goods_040899
Natural honey;UNCTAD-SoP1_Raw materials_040900
Edible products of animal origin, nes;UNCTAD-SoP1_Raw materials_041000
Human hair and waste, unworked;UNCTAD-SoP1_Raw materials_050100
Pigs', hogs', or boars' bristles or hair;UNCTAD-SoP1_Raw materials_050210
Badger and other brush making hair;UNCTAD-SoP1_Raw materials_050290
Horsehair and waste;UNCTAD-SoP1_Raw materials_050300
Guts, bladders and stomachs of animals (excl. f;UNCTAD-SoP1_Raw materials_050400
"Raw feathers for stuffing; down";UNCTAD-SoP1_Raw materials_050510
Skins and parts of birds (excl. feathers for st;UNCTAD-SoP1_Raw materials_050590
Ossein and bones treated with acid;UNCTAD-SoP1_Raw materials_050610
Bones and horn-cores (excl. ossein...);UNCTAD-SoP1_Raw materials_050690
Ivory, its powder and waste, unworked;UNCTAD-SoP1_Raw materials_050710
Tortoise-shell, whalebone and whalebone-hair, e;UNCTAD-SoP1_Raw materials_050790
"Coral; shells of molluscs, crustaceans, unworke";UNCTAD-SoP1_Raw materials_050800
Natural sponges of animal origin;UNCTAD-SoP1_Raw materials_050900
"Ambergris, castoreum, civet and musk; cantharid";UNCTAD-SoP1_Raw materials_051000
Bovine semen;UNCTAD-SoP1_Raw materials_051110
"Products of fish, etc; dead animals of Chapter";UNCTAD-SoP1_Raw materials_051191
"Animal products, nes; dead animals of Chapter 1";UNCTAD-SoP1_Raw materials_051199
Dormant bulbs, tubers... rhizomes;UNCTAD-SoP1_Raw materials_060110
"Bulbs, tubers... rhizomes in growth or flower;";UNCTAD-SoP1_Raw materials_060120
Unrooted cuttings and slips;UNCTAD-SoP1_Raw materials_060210
Trees,shrubs,bushes,grafted or not,of kinds whi;UNCTAD-SoP1_Raw materials_060220
Rhododendrons and azaleas;UNCTAD-SoP1_Raw materials_060230
Roses;UNCTAD-SoP1_Raw materials_060240
Seed potatoes;UNCTAD-SoP1_Raw materials_070110
Other potatoes, fresh or chilled;UNCTAD-SoP1_Raw materials_070190
Tomatoes, fresh or chilled;UNCTAD-SoP1_Raw materials_070200
Onions and shallots, fresh or chilled;UNCTAD-SoP1_Raw materials_070310
Garlic, fresh or chilled;UNCTAD-SoP1_Raw materials_070320
Leeks and other alliaceous vegetables, nes;UNCTAD-SoP1_Raw materials_070390
Cauliflowers and headed broccoli, fresh or chil;UNCTAD-SoP1_Raw materials_070410
Brussels sprouts, fresh or chilled;UNCTAD-SoP1_Raw materials_070420
White and red cabbages, kohlrabi, kale...etc, f;UNCTAD-SoP1_Raw materials_070490
Cabbage lettuce, fresh or chilled;UNCTAD-SoP1_Raw materials_070511
Lettuce, fresh or chilled, (excl. cabbage lettu;UNCTAD-SoP1_Raw materials_070519
Witloof chicory, fresh or chilled;UNCTAD-SoP1_Raw materials_070521
Chicory, fresh or chilled, (excl. witloof);UNCTAD-SoP1_Raw materials_070529
Carrots and turnips, fresh or chilled;UNCTAD-SoP1_Raw materials_070610
Beetroot...radishes and other similar edible ro;UNCTAD-SoP1_Raw materials_070690
Cucumbers and gherkins, fresh or chilled;UNCTAD-SoP1_Raw materials_070700
Peas, fresh or chilled;UNCTAD-SoP1_Raw materials_070810
Beans, fresh or chilled;UNCTAD-SoP1_Raw materials_070820
Leguminous vegetables, fresh or chilled, nes;UNCTAD-SoP1_Raw materials_070890
Globe artichokes, fresh or chilled;UNCTAD-SoP1_Raw materials_070910
Asparagus, fresh or chilled;UNCTAD-SoP1_Raw materials_070920
Aubergines, fresh or chilled;UNCTAD-SoP1_Raw materials_070930
Celery, fresh or chilled;UNCTAD-SoP1_Raw materials_070940
Mushrooms, fresh or chilled;UNCTAD-SoP1_Raw materials_070951
Truffles, fresh or chilled;UNCTAD-SoP1_Raw materials_070952
Fruits of genus Capiscum or Pimenta, fresh or c;UNCTAD-SoP1_Raw materials_070960
Spinach, fresh or chilled;UNCTAD-SoP1_Raw materials_070970
Other vegetables, fresh or chilled, nes;UNCTAD-SoP1_Raw materials_070990
Potatoes, frozen;UNCTAD-SoP1_Raw materials_071010
Shelled or unshelled peas, frozen;UNCTAD-SoP1_Raw materials_071021
Shelled or unshelled beans, frozen;UNCTAD-SoP1_Raw materials_071022
Leguminous vegetables, shelled or unshelled, fr;UNCTAD-SoP1_Raw materials_071029
Spinach, frozen;UNCTAD-SoP1_Raw materials_071030
Sweet corn, frozen;UNCTAD-SoP1_Raw materials_071040
Vegetables, frozen, nes;UNCTAD-SoP1_Raw materials_071080
Mixtures of vegetables, frozen;UNCTAD-SoP1_Raw materials_071090
Onions provisionally preserved, not for immedia;UNCTAD-SoP2_Intermediate goods_071110
Olives provisionally preserved, not for immedia;UNCTAD-SoP2_Intermediate goods_071120
Capers provisionally preserved, not for immedia;UNCTAD-SoP2_Intermediate goods_071130
Cucumbers and gherkins provisionally preserved;UNCTAD-SoP2_Intermediate goods_071140
Other vegetables and  mixture of vegetables pro;UNCTAD-SoP2_Intermediate goods_071190
Dried potatoes;UNCTAD-SoP2_Intermediate goods_071210
Dried onions;UNCTAD-SoP2_Intermediate goods_071220
Dried mushrooms and truffles;UNCTAD-SoP2_Intermediate goods_071230
Dried vegetables, nes;UNCTAD-SoP2_Intermediate goods_071290
Dried peas, shelled;UNCTAD-SoP2_Intermediate goods_071310
Dried chickpeas, shelled;UNCTAD-SoP2_Intermediate goods_071320
Dried beans, shelled;UNCTAD-SoP2_Intermediate goods_071331
