name;id
Chilling;FSK-0001
Cleaning/Washing;FSK-0002
Cutting/Grinding;FSK-0003
Drying;FSK-0004
Heating / Cooking;FSK-0005
Mixing;FSK-0006
Non-Thermal Processing;FSK-0007
Packaging / Filling;FSK-0008
Processing other;FSK-0009
Separation/Extraction/Filtration;FSK-0010
Sizing/Shaping;FSK-0011
Storage;FSK-0012
Transportation/Distribution;FSK-0013
